product,url,weight
巢湖稻虾米,https://item.jd.com/10033573567269.html,50
万年贡蟹田丝苗米,https://item.jd.com/3948513.html,10
仙桃香米,https://item.jd.com/10038453425735.html,10
黑龙江五常大米,https://item.jd.com/100009148126.html#crumb-wrap,10
金龙鱼苏北大米,https://item.jd.com/920015.html,10
巢湖中垾番茄,https://item.taobao.com/item.htm?spm=2832y.1.14.6.756635e84kA6a6&id=578176656849&ns=1&abbucket=17#detail,3
陕西泾阳普罗旺斯番茄,https://item.jd.com/10043788952438.html,5
新疆吐鲁番普罗旺斯番茄,https://item.jd.com/10037947725343.html,5
山东普罗旺斯西红柿,https://item.jd.com/10044805116325.html#crumb-wrap,3
上高富硒大米,https://item.jd.com/28717395062.html,5
乡意浓江西丰城大米,https://item.jd.com/49081585981.html,10
东北富硒大米,https://item.jd.com/11166801840.html,10
湖北恩施富硒大米,https://item.jd.com/10031059017167.html,10
吉田井冈山1号香粘大米,https://item.jd.com/100021259386.html#crumb-wrap,10
奉新大米,https://detail.tmall.com/item.htm?spm=a230r.1.14.16.25333797FZSHM9&id=610942185103&ns=1&abbucket=5,10
千岁好有机山茶油,https://item.jd.com/3205384.html,3
江西宜春润心山茶油 ,https://item.jd.com/3206436.html,2
广西河池市巴马巴马山茶油,https://item.jd.com/100000317287.html#crumb-wrap,2
湖南大三湘山茶油,https://item.jd.com/65353758493.html,1
江西赣之村秋味坊山茶油,https://item.jd.com/10849908319.html,2
南昌赣江野山茶油,https://item.jd.com/1030004082.html,5
江西井冈山蜜柚,https://item.taobao.com/item.htm?spm=a230r.1.14.16.794747f208QxZm&id=665381781073&ns=1&abbucket=3#detail,5
福建漳州红心蜜柚,https://item.taobao.com/item.htm?spm=a230r.1.14.54.6c2f3f99JAaqTt&id=636134045026&ns=1&abbucket=19#detail,10
广西容县沙田柚,https://item.taobao.com/item.htm?spm=a230r.1.14.138.3fc5c698IRlLlu&id=538050588313&ns=1&abbucket=19#detail,10
福建度尾文旦柚,https://item.taobao.com/item.htm?spm=a230r.1.14.16.256f4c743s0zRH&id=657180557461&ns=1&abbucket=19#detail,10
广东梅州沙田柚,https://item.taobao.com/item.htm?spm=a230r.1.14.225.755986b2s3apEo&id=628862629997&ns=1&abbucket=3#detail,10
江西新鲜脚板薯,https://item.taobao.com/item.htm?spm=a230r.1.14.7.88ca75ba3Rw0Vs&id=36720024701&ns=1&abbucket=20#detail,5
广东肇庆新鲜脚板薯,https://item.taobao.com/item.htm?spm=a230r.1.14.153.213f75baZ499V9&id=670249025162&ns=1&abbucket=10#detail,5
江西赣州脚板薯,https://item.taobao.com/item.htm?spm=a230r.1.14.32.213f75ba9B74Vs&id=651476971983&ns=1&abbucket=10#detail,5
广东省茂名市脚板薯,https://item.taobao.com/item.htm?spm=a230r.1.14.240.213f75ba9B74Vs&id=656494293518&ns=1&abbucket=10#detail,5
四川屏山炒青特级,https://item.jd.com/10042678125344.html,1
贵州都匀毛尖绿茶,https://detail.tmall.com/item.htm?spm=a230r.1.14.115.17e94a8dbcg6p8&id=626285412571&ns=1&abbucket=6&skuId=4916649139293,1
浙江湖州安吉白茶1级,https://item.taobao.com/item.htm?spm=a230r.1.14.35.525a9568sGRcc5&id=641790711584&ns=1&abbucket=14#detail,1
安徽黄山毛峰特级,https://detail.tmall.com/item.htm?spm=a230r.1.14.160.7ee672149bK065&id=641001245255&ns=1&abbucket=14,1
浙江龙井1级,https://item.jd.com/1003356574.html,0.5
四川宜宾屏山茵红李,https://item.jd.com/25776897411.html,5
重庆巫山脆李,https://item.taobao.com/item.htm?spm=a230r.1.14.58.444d7646gtPv6H&id=573469072091&ns=1&abbucket=6#detail,5
福建三月李,https://item.jd.com/10027922518767.html,5
贵州镇宁蜂糖李,https://item.jd.com/10048887092525.html,5
永新红辣椒干,https://item.taobao.com/item.htm?spm=2013.1.w4023-16075084923.10.596d15d204uz87&id=555633373767,0.5
陕西宝鸡县干辣椒,https://item.taobao.com/item.htm?spm=a230r.1.14.21.79b533fcoiRpwj&id=43901237439&ns=1&abbucket=14#detail,1
重庆石柱干辣椒,https://item.jd.com/59496058591.html,1
新疆沙湾干辣椒,https://item.taobao.com/item.htm?spm=a230r.1.14.16.2b447db1deyoCG&id=27400180726&ns=1&abbucket=14#detail,1
河南新一代干辣椒,https://item.taobao.com/item.htm?spm=a230r.1.14.17.46ec5645qwEIOn&id=566978663693&ns=1&abbucket=14#detail,1
湖南二荆条干辣椒,https://item.taobao.com/item.htm?spm=a230r.1.14.8.35b9770bBEanUD&id=557814035983&ns=1&abbucket=8#detail,1
永新酱姜,https://item.taobao.com/item.htm?spm=a230r.1.14.6.2e825a4cOH5rtc&id=589559363790&ns=1&abbucket=14#detail,1
安徽铜陵酱姜,https://item.taobao.com/item.htm?spm=a230r.1.14.16.2d6d71adklCflY&id=535381923613&ns=1&abbucket=6#detail,2
