product,cpProduct,subProduct
巢湖稻虾米,万年贡蟹田丝苗米 仙桃香米 黑龙江五常大米 金龙鱼苏北大米,
巢湖中垾番茄,陕西泾阳普罗旺斯番茄 新疆吐鲁番普罗旺斯番茄 山东普罗旺斯西红柿,
仙桃香米,万年贡蟹田丝苗米 巢湖稻虾米 黑龙江五常大米 金龙鱼苏北大米,
万年贡蟹田丝苗米,吉田井冈山1号香粘大米 黑龙江五常大米 金龙鱼苏北大米,
千岁好有机山茶油,江西宜春润心山茶油 广西河池市巴马巴马山茶油 湖南大三湘山茶油 江西赣之村秋味坊山茶油 南昌赣江野山茶油,
乡意浓江西丰城大米,上高富硒大米 湖北恩施富硒大米 东北富硒大米 ,
江西新鲜脚板薯,江西新鲜脚板薯 广东肇庆新鲜脚板薯 江西赣州脚板薯 广东省茂名市脚板薯,
奉新大米,万年贡蟹田丝苗米 吉田井冈山1号香粘大米 黑龙江五常大米 金龙鱼苏北大米,
吉田井冈山1号香粘大米,黑龙江五常大米 金龙鱼苏北大米 乡意浓江西丰城大米,
江西井冈山蜜柚,福建漳州红心蜜柚 广西容县沙田柚 福建度尾文旦柚 广东梅州沙田柚,
上高富硒大米,乡意浓江西丰城大米 湖北恩施富硒大米 东北富硒大米 ,
宜春上高富硒皇菊,,
永新红辣椒干,陕西宝鸡县干辣椒 重庆石柱干辣椒 新疆沙湾干辣椒 河南新一代干辣椒 湖南二荆条干辣椒,
永新酱姜,安徽铜陵酱姜,
四川屏山炒青特级,贵州都匀毛尖绿茶 浙江湖州安吉白茶1级 安徽黄山毛峰特级 浙江龙井1级,
四川宜宾屏山茵红李,重庆巫山脆李 福建三月李 贵州镇宁蜂糖李,
